created_at,entry_id,field6,field7,field4,field5,field3,field1,field2,latitude,longitude,elevation,status
2019-09-17 20:32:13 IST,247,63.2,22.9,24.47033,0.24044,1.70496,13.9,16.8,,,,
2019-09-17 20:32:29 IST,248,63.2,22.9,22.40639,0.2486,1.47712,13.8,16.6,,,,
2019-09-17 20:32:45 IST,249,63.2,22.9,24.3195,0.24314,1.69005,14.1,17.4,,,,
2019-09-17 20:33:01 IST,250,63.6,22.8,24.1692,0.24314,1.69005,14.1,17,,,,
2019-09-17 20:33:18 IST,251,63.7,22.8,22.40639,0.24997,1.49071,13.6,16.7,,,,
2019-09-17 20:33:35 IST,252,63.3,22.8,24.3195,0.2445,1.69005,13.4,16,,,,
2019-09-17 20:33:51 IST,253,63.2,22.8,24.6217,0.24586,1.69005,13.5,16.6,,,,
2019-09-17 20:34:08 IST,254,63.9,22.8,24.3195,0.24314,1.69005,13.6,17.2,,,,
2019-09-17 20:34:25 IST,255,64,22.9,24.47033,0.24179,1.67524,13,15.7,,,,
2019-09-17 20:34:42 IST,256,64.1,23,24.6217,0.24179,1.67524,12.7,15.4,,,,
2019-09-17 20:34:59 IST,257,64,23,24.47033,0.24044,1.69005,12.7,15.2,,,,
2019-09-17 20:35:15 IST,258,64,23.1,24.47033,0.23909,1.69005,12.8,14.9,,,,
2019-09-17 20:35:32 IST,259,64,23.2,24.3195,0.23774,1.69005,12.8,15.2,,,,
2019-09-17 20:35:49 IST,260,63.9,23.3,22.26284,0.24314,1.49071,12.5,14.5,,,,
2019-09-17 20:36:06 IST,261,63.7,23.4,22.40639,0.24179,1.49071,12.4,14.7,,,,
2019-09-17 20:36:22 IST,262,63.5,23.5,24.47033,0.23507,1.69005,12.7,14.3,,,,
2019-09-17 20:36:37 IST,263,63.3,23.5,24.47033,0.23507,1.67524,12.5,14.9,,,,
2019-09-17 20:36:54 IST,264,63.1,23.7,24.47033,0.23507,1.69005,12.3,14.4,,,,
2019-09-17 20:37:10 IST,265,63,23.8,23.87018,0.2364,1.69005,12.5,14,,,,
